Experiment,Batch ID,Brine ID,Brine Name,Measured Water Activity,Measured pH,Dilution,Na+,Cl-,Mg++,SO4--,Ca++,K+,Ionic Strength
Exp003,1,1,C,1.0,8.0,0.7613238570064708,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp003,2,2,Su_C,0.9984688668,8.1,0.7503258432824148,0.04199584943744859,0.0,0.0,0.020997924718724297,0.0,0.0,0.06299377415617288
Exp003,3,3,SW_H,0.86638,6.6,0.7521544671102869,3.0024017158204015,3.502769562065931,0.3415789928793734,0.18040431940683957,0.06643280472980079,0.0640581681707738,4.461446957060581
Exp003,4,6,SWSu_H,0.86638,6.6,0.750110229276896,3.0362254405037645,3.4932495839583284,0.3406506347682819,0.2009058995156624,0.06625225078942643,0.06388406812000162,4.5122971164377885
Exp003,5,4,SW_M,0.919646,6.9,0.7499871313120914,1.9958335229958135,2.328450879328879,0.22706315452311776,0.11992298914172103,0.044160918909594206,0.04258238955275813,2.9657275210875915
Exp003,6,7,SWSu_M,0.91868,6.9,0.7496121127815526,2.0032267201658005,2.327286576381881,0.22694961538758648,0.1240586138387427,0.0441388369801513,0.042561096940538286,2.9768313291570707
Exp003,7,5,SW_L,0.9625,7.1,0.749820604818042,0.9976951849231799,1.163966936054636,0.11350636880832558,0.05994818077246057,0.02207555672867489,0.021286467297903497,1.4825345067567817
Exp003,8,8,SWSu_L,0.962136,7.2,0.7499738903394256,1.0062943734599343,1.1642048853421323,0.11352957286915205,0.06415805101255229,0.022080069625761534,0.02129081888175863,1.4954304258568443
Exp004,1,1,C,1.0,7.8,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exp004,2,9,Na_H,0.845,7.0,0.75,3.593429158110883,3.593429158110883,0.0,0.0,0.0,0.0,3.593429158110883
Exp004,3,10,Na_M,0.903,7.3,0.75,2.395619438526694,2.395619438526694,0.0,0.0,0.0,0.0,2.395619438526694
Exp004,4,11,Na_L,0.962,7.6,0.75,1.197809719584189,1.197809719584189,0.0,0.0,0.0,0.0,1.197809719584189
Exp004,5,12,Mg_H,0.824,5.8,0.75,0.0,3.873585833743236,1.936792916871618,0.0,0.0,0.0,5.810378750614854
Exp004,6,13,Mg_M,0.902,6.3,0.75,0.0,2.582390555828824,1.291195277914412,0.0,0.0,0.0,3.873585833743236
Exp004,7,14,Mg_L,0.967,6.9,0.75,0.0,1.291195277914412,0.645597638957206,0.0,0.0,0.0,1.936792916871618
