Sample ID,Calc Concentration (ppm),days_since_start,Gas,Water Activity,Moles
exp_01_01_01,3464.376543330378,0.0,CO2,0.996141297,1.4401718304616352e-05
exp_01_01_01,0.9782856563635551,0.0,N2O,0.996141297,4.066819604675706e-09
exp_01_01_01,43.685797735597795,0.0,CH4,0.996141297,1.8160570741415733e-07
exp_01_01_02,3658.6693498546797,0.0,CO2,0.996141297,1.5209410607453157e-05
exp_01_01_02,0.9798118244419878,0.0,N2O,0.996141297,4.073164019746117e-09
exp_01_01_02,95.1494237848419,0.0,CH4,0.996141297,3.955445319112291e-07
exp_01_01_03,2104.3268976602644,0.0,CO2,0.996141297,8.74787218475872e-06
exp_01_01_03,0.9790767512740663,0.0,N2O,0.996141297,4.070108255869044e-09
exp_01_01_03,42.50724141385938,0.0,CH4,0.996141297,1.7670634502109464e-07
exp_01_01_04,5795.890221622001,0.0,CO2,0.996141297,2.409402593865801e-05
exp_01_01_04,0.9795860398430649,0.0,N2O,0.996141297,4.072225413289648e-09
exp_01_01_04,44.864354057336215,0.0,CH4,0.996141297,1.8650506980722007e-07
exp_01_01_05,3908.474386814497,0.0,CO2,0.996141297,1.624787213967191e-05
exp_01_01_05,0.9781956820496988,0.0,N2O,0.996141297,4.066445573531399e-09
exp_01_01_05,30.44668172140294,0.0,CH4,0.996141297,1.265695365320862e-07
exp_01_02_01,5462.816839008912,0.0,CO2,0.9046306353,2.2709410562366347e-05
exp_01_02_01,0.9782550990494153,0.0,N2O,0.9046306353,4.06669257523047e-09
exp_01_02_01,33.23593168285052,0.0,CH4,0.9046306353,1.3816469419566797e-07
exp_01_02_02,6489.793102065936,0.0,CO2,0.9046306353,2.697864130593231e-05
exp_01_02_02,0.9781464508213622,0.0,N2O,0.9046306353,4.06624091498074e-09
exp_01_02_02,40.93583298487483,0.0,CH4,0.9046306353,1.7017386183034436e-07
exp_01_02_03,4963.206765089279,0.0,CO2,0.9046306353,2.0632487497928847e-05
exp_01_02_03,0.9786489488761075,0.0,N2O,0.9046306353,4.0683298436357366e-09
exp_01_02_03,26.989583177636923,0.0,CH4,0.9046306353,1.121980735124356e-07
exp_01_02_04,4102.767193338799,0.0,CO2,0.9046306353,1.7055564442508715e-05
exp_01_02_04,0.9783875140773549,0.0,N2O,0.9046306353,4.0672430361598264e-09
