Sample ID,Calc Concentration (ppm),days_since_start,Gas,Water Activity,Moles
exp_02_01_01,2838.261861261702,0.0,CO2,0.95648,1.1798904446262162e-05
exp_02_01_01,-0.0700280632328578,0.0,CH4,0.95648,-2.911128243374965e-10
exp_02_01_01,,0.0,N2O,0.95648,
exp_02_01_02,4688.054001102823,0.0,CO2,0.95648,1.948865323277125e-05
exp_02_01_02,-0.0700280632328578,0.0,CH4,0.95648,-2.911128243374965e-10
exp_02_01_02,,0.0,N2O,0.95648,
exp_02_01_03,2627.7164144505177,0.0,CO2,0.95648,1.0923648486822103e-05
exp_02_01_03,-0.0700280632328578,0.0,CH4,0.95648,-2.911128243374965e-10
exp_02_01_03,,0.0,N2O,0.95648,
exp_02_01_04,2492.365770071899,0.0,CO2,0.95648,1.036098394146778e-05
exp_02_01_04,-0.0700280632328578,0.0,CH4,0.95648,-2.911128243374965e-10
exp_02_01_04,,0.0,N2O,0.95648,
exp_02_01_05,2793.1449798021627,0.0,CO2,0.95648,1.161134959781072e-05
exp_02_01_05,-0.0700280632328578,0.0,CH4,0.95648,-2.911128243374965e-10
exp_02_01_05,,0.0,N2O,0.95648,
exp_02_02_01,1981.0411135304507,0.0,CO2,0.9197,8.235362325684778e-06
exp_02_02_01,-0.0700280632328578,0.0,CH4,0.9197,-2.911128243374965e-10
exp_02_02_01,,0.0,N2O,0.9197,
exp_02_02_02,1830.651508665319,0.0,CO2,0.9197,7.610179497513308e-06
exp_02_02_02,,0.0,CH4,0.9197,
exp_02_02_02,,0.0,N2O,0.9197,
exp_02_02_03,,0.0,CO2,0.9197,
exp_02_02_03,,0.0,CH4,0.9197,
exp_02_02_03,,0.0,N2O,0.9197,
exp_02_02_04,998.99699376114,0.0,CO2,0.9197,4.152918457725075e-06
exp_02_02_04,-0.0700280632328578,0.0,CH4,0.9197,-2.911128243374965e-10
exp_02_02_04,,0.0,N2O,0.9197,
exp_02_02_05,2417.170967639333,0.0,CO2,0.9197,1.0048392527382044e-05
exp_02_02_05,-0.0700280632328578,0.0,CH4,0.9197,-2.911128243374965e-10
exp_02_02_05,,0.0,N2O,0.9197,
exp_02_03_01,1620.1060618541344,0.0,CO2,0.8789,6.734923538073249e-06
exp_02_03_01,-0.0700280632328578,0.0,CH4,0.8789,-2.911128243374965e-10
exp_02_03_01,,0.0,N2O,0.8789,
exp_02_03_02,3108.9631500189394,0.0,CO2,0.8789,1.2924233536970809e-05
exp_02_03_02,-0.0700280632328578,0.0,CH4,0.8789,-2.911128243374965e-10
exp_02_03_02,,0.0,N2O,0.8789,
exp_02_03_03,1770.4956667192662,0.0,CO2,0.8789,7.360106366244719e-06
exp_02_03_03,-0.0700280632328578,0.0,CH4,0.8789,-2.911128243374965e-10
exp_02_03_03,,0.0,N2O,0.8789,
exp_02_03_04,2943.5345846672944,0.0,CO2,0.8789,1.2236532425982191e-05
exp_02_03_04,-0.0700280632328578,0.0,CH4,0.8789,-2.911128243374965e-10
exp_02_03_04,,0.0,N2O,0.8789,
exp_02_03_05,1605.0671013676213,0.0,CO2,0.8789,6.672405255256102e-06
exp_02_03_05,-0.0700280632328578,0.0,CH4,0.8789,-2.911128243374965e-10
exp_02_03_05,,0.0,N2O,0.8789,
exp_02_04_01,1875.7683901248583,0.0,CO2,0.7194,7.797734345964749e-06
exp_02_04_01,-0.0700280632328578,0.0,CH4,0.7194,-2.911128243374965e-10
exp_02_04_01,,0.0,N2O,0.7194,
exp_02_04_02,1319.3268521238708,0.0,CO2,0.7194,5.4845578817303075e-06
exp_02_04_02,-0.0700280632328578,0.0,CH4,0.7194,-2.911128243374965e-10
exp_02_04_02,,0.0,N2O,0.7194,
exp_02_04_03,1544.9112594215685,0.0,CO2,0.7194,6.4223321239875134e-06
exp_02_04_03,-0.0700280632328578,0.0,CH4,0.7194,-2.911128243374965e-10
