Sample ID,Calc Concentration (ppm),days_since_start,Gas,Water Activity,Moles
exp_00_01_01,27639.952897997086,0.0,CO2,unknown,0.00011490171770045305
exp_00_01_02,1.4415990486101116,0.0,N2O,unknown,5.992854167730651e-09
exp_00_01_03,6.954125708083873,0.0,CH4,unknown,2.890891283036949e-08
exp_00_02_01,78156.08259431558,0.0,CO2,unknown,0.00032490171643802224
exp_00_02_02,2.6401248143202105,0.0,N2O,unknown,1.0975231297552765e-08
exp_00_02_03,24.78961137705855,0.0,CH4,unknown,1.030525970453852e-07
exp_00_03_01,96752.67979021305,0.0,CO2,unknown,0.0004022094082809736
exp_00_03_02,65.48803185731393,0.0,N2O,unknown,2.7223951419152505e-07
exp_00_03_03,34.807340111835074,0.0,CH4,unknown,1.4469717738641825e-07
exp_00_04_01,94532.19057279245,0.0,CO2,unknown,0.00039297863910569576
exp_00_04_02,22.87755491776226,0.0,N2O,unknown,9.510401000096552e-08
exp_00_04_03,31.90023451821365,0.0,CH4,unknown,1.3261208348353022e-07
exp_00_05_01,96475.11863803548,0.0,CO2,unknown,0.0004010555621340639
exp_00_05_02,1.1988381640541,0.0,N2O,unknown,4.983675797242603e-09
exp_00_05_03,33.31450210429975,0.0,CH4,unknown,1.3849131835520547e-07
exp_00_01_01,44016.06087647396,9.0,CO2,unknown,0.0001829786403681266
exp_00_01_02,3.0832058693490145,9.0,N2O,unknown,1.2817158253478503e-08
exp_00_01_03,50.36428355878215,9.0,CH4,unknown,2.0936876097484604e-07
exp_00_02_01,15510.530547837096,9.0,CO2,unknown,6.447864108049825e-05
exp_00_02_02,0.9924914121814902,9.0,N2O,unknown,4.1258741823277615e-09
exp_00_02_03,5.8934250185193,9.0,CH4,unknown,2.449948667661305e-08
exp_00_03_01,83429.74448568949,9.0,CO2,unknown,0.00034682479322930697
exp_00_03_02,58.01846617866742,9.0,N2O,unknown,2.41187872022662e-07
exp_00_03_03,28.71813244951993,9.0,CH4,unknown,1.193838050222609e-07
exp_00_04_01,82041.93872480161,9.0,CO2,unknown,0.00034105556249475834
exp_00_04_02,18.463720653107508,9.0,N2O,unknown,7.675531235572829e-08
exp_00_04_03,18.03255513242497,9.0,CH4,unknown,7.496291932515899e-08
exp_00_05_01,84262.4279422222,9.0,CO2,unknown,0.0003502863316700361
exp_00_05_02,19.14277207843901,9.0,N2O,unknown,7.957818891653402e-08
exp_00_05_03,48.40002302255146,9.0,CH4,unknown,2.012031569864082e-07
exp_00_01_01,43738.49972429638,16.0,CO2,unknown,0.00018182479422121684
exp_00_01_02,3.0492532980824394,16.0,N2O,unknown,1.2676014425438216e-08
exp_00_01_03,16.736143178512716,16.0,CH4,unknown,6.957362069279e-08
exp_00_02_01,,16.0,CO2,unknown,
exp_00_02_02,,16.0,N2O,unknown,
exp_00_02_03,,16.0,CH4,unknown,
exp_00_03_01,,16.0,CO2,unknown,
exp_00_03_02,,16.0,N2O,unknown,
exp_00_03_03,,16.0,CH4,unknown,
exp_00_04_01,,16.0,CO2,unknown,
exp_00_04_02,,16.0,N2O,unknown,
exp_00_04_03,,16.0,CH4,unknown,
exp_00_05_01,,16.0,CO2,unknown,
exp_00_05_02,,16.0,N2O,unknown,
exp_00_05_03,,16.0,CH4,unknown,
exp_00_01_01,118051.7381484392,30.0,CO2,unknown,0.0004907514691084259
exp_00_01_02,,30.0,N2O,unknown,
exp_00_01_03,18.227310520602796,30.0,CH4,unknown,7.577253462065654e-08
exp_00_02_01,177154.852860436,30.0,CO2,unknown,0.0007364483205798139
exp_00_02_02,,30.0,N2O,unknown,
exp_00_02_03,19.47081896804794,30.0,CH4,unknown,8.094190871886004e-08
exp_00_03_01,178658.7489090873,30.0,CO2,unknown,0.0007427001488615286
exp_00_03_02,,30.0,N2O,unknown,
exp_00_03_03,13.395391981958818,30.0,CH4,unknown,5.568582383906589e-08
exp_00_04_01,183170.43705504126,30.0,CO2,unknown,0.0007614556337066727
exp_00_04_02,,30.0,N2O,unknown,
exp_00_04_03,6.858090429675788,30.0,CH4,unknown,2.850968572279617e-08
exp_00_05_01,181666.54100638995,30.0,CO2,unknown,0.000755203805424958
exp_00_05_02,,30.0,N2O,unknown,
exp_00_05_03,20.181395223730878,30.0,CH4,unknown,8.38958367749763e-08
exp_00_01_01,113088.88118788984,37.0,CO2,unknown,0.0004701204357787674
exp_00_01_02,,37.0,N2O,unknown,
exp_00_01_03,16.468634287787527,37.0,CH4,unknown,6.846156268176878e-08
exp_00_02_01,169635.37261717938,37.0,CO2,unknown,0.0007051891791712403
exp_00_02_02,,37.0,N2O,unknown,
exp_00_02_03,20.181395223730878,37.0,CH4,unknown,8.38958367749763e-08
exp_00_03_01,162115.8923739228,37.0,CO2,unknown,0.0006739300377626668
exp_00_03_02,,37.0,N2O,unknown,
exp_00_03_03,14.834308899716769,37.0,CH4,unknown,6.166752815270134e-08
exp_00_04_01,172643.16471448203,37.0,CO2,unknown,0.0007176928357346698
exp_00_04_02,,37.0,N2O,unknown,
exp_00_04_03,6.538331114618466,37.0,CH4,unknown,2.7180418097543848e-08
exp_00_05_01,180162.6449577386,37.0,CO2,unknown,0.0007489519771432433
exp_00_05_02,,37.0,N2O,unknown,
exp_00_05_03,15.011952963637503,37.0,CH4,unknown,6.240601016673041e-08
exp_00_01_01,101508.8816132747,44.0,CO2,unknown,0.00042198135800956414
exp_00_01_02,,44.0,N2O,unknown,
exp_00_01_03,16.290990223866793,44.0,CH4,unknown,6.772308066773971e-08
exp_00_02_01,154596.41213066623,44.0,CO2,unknown,0.0006426708963540933
exp_00_02_02,,44.0,N2O,unknown,
exp_00_02_03,18.227310520602796,44.0,CH4,unknown,7.577253462065654e-08
exp_00_03_01,162115.8923739228,44.0,CO2,unknown,0.0006739300377626668
exp_00_03_02,,44.0,N2O,unknown,
exp_00_03_03,13.6085648586637,44.0,CH4,unknown,5.657200225590077e-08
exp_00_04_01,171139.26866583072,44.0,CO2,unknown,0.0007114410074529551
exp_00_04_02,,44.0,N2O,unknown,
exp_00_04_03,7.817368374847755,44.0,CH4,unknown,3.249748859855314e-08
exp_00_05_01,165123.68447122542,44.0,CO2,unknown,0.0006864336943260961
exp_00_05_02,,44.0,N2O,unknown,
exp_00_05_03,15.402769904263119,44.0,CH4,unknown,6.403067059759436e-08
exp_00_01_01,89928.88203865955,51.0,CO2,unknown,0.0003738422802403609
exp_00_01_02,,51.0,N2O,unknown,
exp_00_01_03,15.065246182813723,51.0,CH4,unknown,6.262755477093914e-08
exp_00_02_01,139557.45164415304,51.0,CO2,unknown,0.0005801526135369462
exp_00_02_02,,51.0,N2O,unknown,
exp_00_02_03,18.582598648444268,51.0,CH4,unknown,7.72494986487147e-08
exp_00_03_01,146926.5422825445,51.0,CO2,unknown,0.0006107865721173484
exp_00_03_02,,51.0,N2O,unknown,
exp_00_03_03,12.311763192042338,51.0,CH4,unknown,5.1181083553488574e-08
exp_00_04_01,149182.38635552148,51.0,CO2,unknown,0.0006201643145399203
exp_00_04_02,,51.0,N2O,unknown,
exp_00_04_03,13.25327673082223,51.0,CH4,unknown,5.5095038227842635e-08
exp_00_05_01,154596.41213066623,51.0,CO2,unknown,0.0006426708963540933
exp_00_05_02,,51.0,N2O,unknown,
exp_00_05_03,13.928324173721021,51.0,CH4,unknown,5.7901269881153095e-08
