Measured Water Activity,CO2 Conc,Measured Water Activity,CH4 Conc
1.00,"3,456.02",1.00,41.96
1.00,"3,661.42",1.00,93.34
1.00,"2,107.07",1.00,40.62
1.00,"5,798.65",1.00,43.21
1.00,"3,908.45",1.00,28.72
0.90,"5,454.47",0.90,31.49
0.90,"6,495.33",0.90,39.32
0.90,"4,960.41",0.90,25.26
0.90,"4,099.97",0.90,20.61
0.90,"5,881.92",0.90,23.41
0.77,"3,672.52",0.77,42.58
0.77,"5,793.10",0.77,61.28
0.77,"3,994.49",0.77,48.60
0.77,"3,791.87",0.77,31.79
0.77,"5,557.17",0.77,20.32
0.70,"2,298.59",0.70,19.91
0.70,"1,218.87",0.70,15.77
0.70,"1,523.08",0.70,13.14
0.70,"1,467.01",0.70,16.82
0.70,"1,057.05",0.70,11.55
0.61,"2,008.26",0.61,33.58
0.61,"2,434.59",0.61,34.91
0.61,"2,742.69",0.61,46.32
0.61,"1,136.43",0.61,41.01
0.61,"1,811.47",0.61,31.00
0.45,"2,517.86",0.45,32.30
0.45,"1,948.86",0.45,36.49
0.45,"2,845.38",0.45,62.70
0.45,"1,649.37",0.45,44.23
0.45,"2,268.06",0.45,41.01

