batch_name,experiment,batch_id,brine,water_activity,ionic_strength,baseline,ceiling,no_cl_monod,no_salt_terms,no_smoothstep,cl_monod_fold,cl_smoothstep_fold,sulfate_fold
Exp003_B01_C,Exp003,1,C,1.0,0.0,8.14477307732134e-05,0.0001364309353212885,0.00013591377646392252,0.00013591377646392252,8.14477307732134e-05,1.6687239186855525,1.0,1.0038050510464867
Exp003_B02_Su_C,Exp003,2,Su_C,0.9984688668,0.0629937741561728,7.759719624257516e-05,0.00012918433334129867,0.00012908448213149433,0.00012908448213149433,7.759719624257516e-05,1.6635199257453286,1.0,1.0007735337986066
Exp003_B03_SW_H,Exp003,3,SW_H,0.86638,4.461446957060581,4.5557554948411125e-08,0.00010629439806986175,3.3256119346400554e-07,0.00010803348605659574,4.2057000901337355e-05,7.299803377081895,923.1619420524706,0.9839023246382799
Exp003_B04_SWSu_H,Exp003,4,SWSu_H,0.86638,4.5122971164377885,4.5846357846092394e-08,0.00010612318937878426,3.338936126286079e-07,0.00010786254852339162,4.212278227586675e-05,7.282881963044891,918.7814311722253,0.9838742995746096
Exp003_B05_SW_M,Exp003,5,SW_M,0.919646,2.9657275210875915,5.6922911838907785e-08,0.00011232525508967496,3.0150537415662296e-07,0.00011412415153852409,4.8555890145293574e-05,5.296731393676507,853.0113547723465,0.984237372855807
Exp003_B06_SWSu_M,Exp003,6,SWSu_M,0.91868,2.9768313291570707,5.6988651820051275e-08,0.00011228609492298977,3.0173770785363985e-07,0.00011408605821083263,4.856012161569472e-05,5.294698123521399,852.1016038250793,0.9842227585379758
Exp003_B07_SW_L,Exp003,7,SW_L,0.9625,1.4825345067567817,3.934321417542907e-05,0.00011857334903701586,6.118764799943172e-05,0.00012025327682938434,5.145490343468524e-05,1.5552274841246982,1.3078469696260926,0.9860300871904558
Exp003_B08_SWSu_L,Exp003,8,SWSu_L,0.962136,1.4954304258568445,3.9331572458332263e-05,0.00011852793978923612,6.117581859994205e-05,0.00012021158974104467,5.1452886526166945e-05,1.5553870536132646,1.3081827984547518,0.9859942792917438
Exp004_B01_C,Exp004,1,C,1.0,0.0,8.14477307732134e-05,0.0001364309353212885,0.00013591377646392252,0.00013591377646392252,8.14477307732134e-05,1.6687239186855525,1.0,1.0038050510464867
Exp004_B02_Na_H,Exp004,2,Na_H,0.845,3.593429158110883,4.191069279450384e-08,0.00010957060844359302,3.385952835448031e-07,0.00011062366911334978,4.056851539702753e-05,8.078971283175887,967.9752991901788,0.9904806929819173
Exp004_B03_Na_M,Exp004,3,Na_M,0.903,2.395619438526694,5.3850775109963076e-08,0.00011475694076594791,3.11874122469888e-07,0.00011578746483111833,4.817053034407027e-05,5.791450946305643,894.5187928252886,0.9910998650270693
Exp004_B04_Na_L,Exp004,4,Na_L,0.962,1.197809719584189,3.6523481949656794e-05,0.00011996282439014248,6.0777675867583895e-05,0.00012089345960008252,5.171963973441403e-05,1.664071239192325,1.416065418015273,0.992302021854461
Exp004_B05_Mg_H,Exp004,5,Mg_H,0.824,5.810378750614854,5.013853027448593e-08,0.0001093009872999641,3.558547536677252e-07,0.00011035476865929293,4.421130670677083e-05,7.09743089236123,881.783061145466,0.9904509667128001
Exp004_B06_Mg_M,Exp004,6,Mg_M,0.902,3.873585833743236,6.60720511263979e-08,0.00011374220761676477,6.017682009787386e-07,0.00011480149756100841,4.911507920846672e-05,9.107757224420611,743.3563567522375,0.9907728560450119
Exp004_B07_Mg_L,Exp004,7,Mg_L,0.967,1.936792916871618,3.921087390586864e-05,0.00011889650045842787,6.178504719176786e-05,0.00011990603830275158,5.1826088500047116e-05,1.5757120675272829,1.3217274530647574,0.99158059211518
