experiment,batch_id,brine,water_activity,measured_ch4_moles,measured_day,measured_suppression
Exp003,1,C,1.0,0.0005964106731896016,119.0,1.0
Exp003,2,Su_C,0.9984688668,0.0001277891063027515,119.0,4.667148010070714
Exp003,3,SW_H,0.86638,7.050133592387482e-07,119.0,845.9565558212792
Exp003,4,SWSu_H,0.86638,7.049170130530734e-07,119.0,846.0721789171766
Exp003,5,SW_M,0.919646,3.027243043909949e-06,119.0,197.01446647616544
Exp003,6,SWSu_M,0.91868,3.923253299380015e-06,119.0,152.01941543867468
Exp003,7,SW_L,0.9625,5.13372647113523e-05,119.0,11.617500007898089
Exp003,8,SWSu_L,0.962136,1.9026504715583052e-05,119.0,31.34630780088213
Exp004,1,C,1.0,0.001816252625770516,122.0,1.0
Exp004,2,Na_H,0.845,4.277291112474832e-08,122.0,42462.684395583165
Exp004,3,Na_M,0.903,8.283273445783646e-07,122.0,2192.6749583463593
Exp004,4,Na_L,0.962,5.0374923537606717e-05,122.0,36.0546974213195
Exp004,5,Mg_H,0.824,3.5237933608733144e-07,122.0,5154.25406590921
Exp004,6,Mg_M,0.902,1.7545677934694313e-07,122.0,10351.567106900504
Exp004,7,Mg_L,0.967,2.4971898244656697e-05,122.0,72.731860749078
