variant,variant_label,batch_name,experiment,batch_id,brine,water_activity,ionic_strength,chloride,sulfate,ch4_moles,ch4_per_starting_c
baseline,Baseline (everything on),Exp003_B01_C,Exp003,1,C,1.0,0.0,0.0,0.0,8.14477307732134e-05,0.0014415667621459714
baseline,Baseline (everything on),Exp003_B02_Su_C,Exp003,2,Su_C,0.9984688668,0.0629937741561728,0.0,0.0209979247187242,7.759719624257516e-05,0.0013734150463993496
baseline,Baseline (everything on),Exp003_B03_SW_H,Exp003,3,SW_H,0.86638,4.461446957060581,3.502769562065931,0.1804043194068395,4.5557554948411125e-08,8.063362398779956e-07
baseline,Baseline (everything on),Exp003_B04_SWSu_H,Exp003,4,SWSu_H,0.86638,4.5122971164377885,3.4932495839583284,0.2009058995156624,4.5846357846092394e-08,8.114478452493964e-07
baseline,Baseline (everything on),Exp003_B05_SW_M,Exp003,5,SW_M,0.919646,2.9657275210875915,2.328450879328879,0.119922989141721,5.6922911838907785e-08,1.0074949532973635e-06
baseline,Baseline (everything on),Exp003_B06_SWSu_M,Exp003,6,SWSu_M,0.91868,2.9768313291570707,2.327286576381881,0.1240586138387427,5.6988651820051275e-08,1.0086585040907484e-06
baseline,Baseline (everything on),Exp003_B07_SW_L,Exp003,7,SW_L,0.9625,1.4825345067567817,1.163966936054636,0.0599481807724605,3.934321417542907e-05,0.000696346839044674
baseline,Baseline (everything on),Exp003_B08_SWSu_L,Exp003,8,SWSu_L,0.962136,1.4954304258568445,1.1642048853421323,0.0641580510125522,3.9331572458332263e-05,0.0006961407889526488
baseline,Baseline (everything on),Exp004_B01_C,Exp004,1,C,1.0,0.0,0.0,0.0,8.14477307732134e-05,0.0014415667621459714
baseline,Baseline (everything on),Exp004_B02_Na_H,Exp004,2,Na_H,0.845,3.593429158110883,3.593429158110883,0.0,4.191069279450384e-08,7.417893799803371e-07
baseline,Baseline (everything on),Exp004_B03_Na_M,Exp004,3,Na_M,0.903,2.395619438526694,2.395619438526694,0.0,5.3850775109963076e-08,9.531203236401424e-07
baseline,Baseline (everything on),Exp004_B04_Na_L,Exp004,4,Na_L,0.962,1.197809719584189,1.197809719584189,0.0,3.6523481949656794e-05,0.00064643958912824
baseline,Baseline (everything on),Exp004_B05_Mg_H,Exp004,5,Mg_H,0.824,5.810378750614854,3.873585833743236,0.0,5.013853027448593e-08,8.874162368967965e-07
baseline,Baseline (everything on),Exp004_B06_Mg_M,Exp004,6,Mg_M,0.902,3.873585833743236,2.582390555828824,0.0,6.60720511263979e-08,1.169428195315044e-06
baseline,Baseline (everything on),Exp004_B07_Mg_L,Exp004,7,Mg_L,0.967,1.936792916871618,1.291195277914412,0.0,3.921087390586864e-05,0.0006940045106325668
no_cl_monod,Legacy Cl- Monod off,Exp003_B01_C,Exp003,1,C,1.0,0.0,0.0,0.0,0.00013591377646392252,0.002405576936375069
no_cl_monod,Legacy Cl- Monod off,Exp003_B02_Su_C,Exp003,2,Su_C,0.9984688668,0.0629937741561728,0.0,0.0209979247187242,0.00012908448213149433,0.002284703296003763
no_cl_monod,Legacy Cl- Monod off,Exp003_B03_SW_H,Exp003,3,SW_H,0.86638,4.461446957060581,3.502769562065931,0.1804043194068395,3.3256119346400554e-07,5.8860960069249096e-06
no_cl_monod,Legacy Cl- Monod off,Exp003_B04_SWSu_H,Exp003,4,SWSu_H,0.86638,4.5122971164377885,3.4932495839583284,0.2009058995156624,3.338936126286079e-07,5.90967887611847e-06
no_cl_monod,Legacy Cl- Monod off,Exp003_B05_SW_M,Exp003,5,SW_M,0.919646,2.9657275210875915,2.328450879328879,0.119922989141721,3.0150537415662296e-07,5.336430148100792e-06
no_cl_monod,Legacy Cl- Monod off,Exp003_B06_SWSu_M,Exp003,6,SWSu_M,0.91868,2.9768313291570707,2.327286576381881,0.1240586138387427,3.0173770785363985e-07,5.340542288883187e-06
no_cl_monod,Legacy Cl- Monod off,Exp003_B07_SW_L,Exp003,7,SW_L,0.9625,1.4825345067567817,1.163966936054636,0.0599481807724605,6.118764799943172e-05,0.0010829777425656346
no_cl_monod,Legacy Cl- Monod off,Exp003_B08_SWSu_L,Exp003,8,SWSu_L,0.962136,1.4954304258568445,1.1642048853421323,0.0641580510125522,6.117581859994205e-05,0.0010827683706290739
no_cl_monod,Legacy Cl- Monod off,Exp004_B01_C,Exp004,1,C,1.0,0.0,0.0,0.0,0.00013591377646392252,0.002405576936375069
no_cl_monod,Legacy Cl- Monod off,Exp004_B02_Na_H,Exp004,2,Na_H,0.845,3.593429158110883,3.593429158110883,0.0,3.385952835448031e-07,5.99289509902599e-06
no_cl_monod,Legacy Cl- Monod off,Exp004_B03_Na_M,Exp004,3,Na_M,0.903,2.395619438526694,2.395619438526694,0.0,3.11874122469888e-07,5.519949600288843e-06
no_cl_monod,Legacy Cl- Monod off,Exp004_B04_Na_L,Exp004,4,Na_L,0.962,1.197809719584189,1.197809719584189,0.0,6.0777675867583895e-05,0.0010757215281436076
no_cl_monod,Legacy Cl- Monod off,Exp004_B05_Mg_H,Exp004,5,Mg_H,0.824,5.810378750614854,3.873585833743236,0.0,3.558547536677252e-07,6.298375414134275e-06
no_cl_monod,Legacy Cl- Monod off,Exp004_B06_Mg_M,Exp004,6,Mg_M,0.902,3.873585833743236,2.582390555828824,0.0,6.017682009787386e-07,1.065086809432175e-05
