threshold,interval,fit score,points
2.0,1.0,0.8875495597555852,16
2.0,0.75,0.9611590412739588,16
1.5,1.0,1.0622435407072885,16
1.25,1.0,1.375274983150924,16
2.0,0.5,1.8085556917541379,16
2.0,0.3,1.8487156735954633,16
1.5,0.75,1.8490645170755373,16
1.25,0.75,1.9347412809966194,16
1.0,1.0,1.9440161899975403,16
1.5,0.5,1.988458929439248,16
1.5,0.3,2.470249781086812,16
1.25,0.5,2.4811624313480847,16
1.25,0.3,2.4852696849850795,16
1.0,0.75,2.493078273931439,16
0.75,1.0,2.5100378234096197,16
1.0,0.5,2.511574336582402,16
0.75,0.75,2.544742869007261,16
0.5,1.0,2.649138888405277,16
1.0,0.3,2.653361277369849,16
0.75,0.5,3.0901944046477636,16
0.75,0.3,3.1354699611444707,16
0.5,0.5,3.1354699611444707,16
0.5,0.3,3.1354699611444707,16
0.5,0.75,3.1354963955376576,16
