batch,day,window,modelled,measured,log10 ratio
1,0.0,held out,2.929597850538497e-15,1.076529026172844e-07,-7.565217735773247
1,10.0,fitted,9.122285647791225e-06,6.220502196225724e-05,-0.8337217804927821
1,52.0,fitted,5.510685222537874e-05,0.0009642039226870646,-1.2429632897262841
1,87.0,held out,6.29945273339607e-05,0.000891372356087051,-1.1507563396447633
1,122.0,held out,7.730351472455817e-05,0.001816252625770516,-1.3709770149279552
2,0.0,held out,2.929597850538497e-15,1.255703439555093e-07,-7.632079075536387
2,10.0,fitted,1.9944826439886194e-08,1.4614641532014077e-07,-0.8649579060206835
2,52.0,fitted,1.3033157547476625e-06,2.5751158283251973e-07,0.7042528768132931
2,87.0,held out,4.512162827772084e-06,9.515779451849743e-08,1.6759403955919523
2,122.0,held out,9.558625473513732e-06,4.277291112474832e-08,2.3492266360452545
3,0.0,held out,2.929597850538497e-15,1.5094919769598557e-07,-7.712022800750534
3,10.0,fitted,1.039523183180212e-07,4.861880717691461e-07,-0.6699701202744235
3,52.0,fitted,6.172824473912023e-06,1.6883351213778263e-06,0.5630252729309153
3,87.0,held out,1.8436292308781046e-05,9.087187588747388e-07,1.3072440918997965
3,122.0,held out,3.189832078204588e-05,8.283273445783646e-07,1.5855658227282605
4,0.0,held out,2.929597850538497e-15,2.1825199912776045e-07,-7.87215022209922
4,10.0,fitted,6.431424429930601e-07,8.528849148456569e-06,-1.1225832620328562
4,52.0,fitted,2.607479839947327e-05,2.676560867764734e-05,-0.011356164827740147
4,87.0,held out,4.642806318955129e-05,4.731149329815915e-05,-0.008186089099066346
4,122.0,held out,5.0800806892765625e-05,5.0374923537606717e-05,0.0036562104905293854
5,0.0,held out,2.929597850538497e-15,2.587786414447909e-07,-7.946120420230789
5,10.0,fitted,4.158241189390858e-08,6.190242254023011e-07,-1.172797969392723
5,52.0,fitted,2.594313812864471e-06,6.736191030996926e-07,0.5856081131852472
5,87.0,held out,8.601791466337253e-06,3.440623411886016e-07,1.397951769531369
5,122.0,held out,1.7158000558583342e-05,3.5237933608733144e-07,1.6874562446492416
6,0.0,held out,2.929597850538497e-15,2.0614805927818034e-07,-7.847371242302126
6,10.0,fitted,1.4490179214897218e-07,5.656462505655829e-07,-0.5914711558434732
6,52.0,fitted,8.229937321284374e-06,5.96056473266484e-07,1.1401091188193337
6,87.0,held out,2.3212479151932917e-05,2.595754522554942e-07,1.9514579073375082
6,122.0,held out,3.7386550170282356e-05,1.7545677934694313e-07,2.328545239380278
7,0.0,held out,2.929597850538497e-15,1.8044030713544183e-07,-7.789525549344613
7,10.0,fitted,6.989119986805732e-07,2.124745955832128e-06,-0.48288451493587486
7,52.0,fitted,2.7399729699123756e-05,9.854295088293848e-06,0.4441207153413707
7,87.0,held out,4.71904213692043e-05,1.2564848948308096e-05,0.5746965832575649
7,122.0,held out,5.096587161704483e-05,2.4971898244656697e-05,0.3098278993024849
