X [m],Y [m],Z [m],Liquid Pressure [Pa],Gas Pressure [Pa],Liquid Saturation,Gas Saturation,Liquid Density [kg/m^3],Gas Density [kg/m^3],X_g^l,X_l^l,X_g^g,X_l^g,Temperature [C],Liquid Energy [MJ/kmol],Gas Energy [MJ/kmol],Thermodynamic State,pH,Total DOM1 [M],Total O2(aq) [M],Total HCO3- [M],Total Fe+++ [M],Total Fe++ [M],Total Tracer2 [M],Total Tracer3 [M],Total CH4(aq) [M],Total Acetate- [M],Total CH3OH [M],Total SO4-- [M],Total HS- [M],Free DOM1 [M],Free O2(aq) [M],Free HCO3- [M],Free Fe+++ [M],Free Fe++ [M],Free Tracer2 [M],Free Tracer3 [M],Free CH4(aq) [M],Free Acetate- [M],Free CH3OH [M],Free SO4-- [M],Free HS- [M],Gamma H2O,CO2(aq) [M],Fe(OH)3 VF [m^3 mnrl/m^3 bulk],Fe(OH)2 VF [m^3 mnrl/m^3 bulk],Rock(s) VF [m^3 mnrl/m^3 bulk],Fe(OH)3 Rate [mol/m^3/sec],Fe(OH)2 Rate [mol/m^3/sec],Rock(s) Rate [mol/m^3/sec],Material ID,Time Index,Time [d]
0.125,0.125,0.125,191180.8,200000.0,0.75,0.25,999.9772,2.472764,3.094322e-05,0.9999691,0.9946536,0.005346385,8.0,0.6037994,6.059922,3.0,5.001225,0.05,0.0002,3.98922e-06,4.645847e-10,0.0024,1e-15,1e-15,1e-15,1e-15,0.002,0.001,1e-15,0.05,0.0002,1.729964e-07,4.511958e-10,0.0024,1e-15,1e-15,1e-15,1e-15,0.002,0.001,1e-15,1.0,3.815153e-06,9.6e-06,0.72,0.5,0.0,0.0,0.0,1.0,0,0.0
0.375,0.125,0.125,191180.8,200000.0,0.75,0.25,999.9772,2.472764,3.094322e-05,0.9999691,0.9946536,0.005346385,8.0,0.6037994,6.059922,3.0,5.001225,0.05,0.0002,3.98922e-06,4.645847e-10,0.0024,1e-15,1e-15,1e-15,1e-15,0.002,0.001,1e-15,0.05,0.0002,1.729964e-07,4.511958e-10,0.0024,1e-15,1e-15,1e-15,1e-15,0.002,0.001,1e-15,1.0,3.815153e-06,9.6e-06,0.72,0.5,0.0,0.0,0.0,1.0,0,0.0
0.625,0.125,0.125,191180.8,200000.0,0.75,0.25,999.9772,2.472764,3.094322e-05,0.9999691,0.9946536,0.005346385,8.0,0.6037994,6.059922,3.0,5.001225,0.05,0.0002,3.98922e-06,4.645847e-10,0.0024,1e-15,1e-15,1e-15,1e-15,0.002,0.001,1e-15,0.05,0.0002,1.729964e-07,4.511958e-10,0.0024,1e-15,1e-15,1e-15,1e-15,0.002,0.001,1e-15,1.0,3.815153e-06,9.6e-06,0.72,0.5,0.0,0.0,0.0,1.0,0,0.0
0.875,0.125,0.125,191180.8,200000.0,0.75,0.25,999.9772,2.472764,3.094322e-05,0.9999691,0.9946536,0.005346385,8.0,0.6037994,6.059922,3.0,5.001225,0.05,0.0002,3.98922e-06,4.645847e-10,0.0024,1e-15,1e-15,1e-15,1e-15,0.002,0.001,1e-15,0.05,0.0002,1.729964e-07,4.511958e-10,0.0024,1e-15,1e-15,1e-15,1e-15,0.002,0.001,1e-15,1.0,3.815153e-06,9.6e-06,0.72,0.5,0.0,0.0,0.0,1.0,0,0.0
0.125,0.375,0.125,191180.8,200000.0,0.75,0.25,999.9772,2.472764,3.094322e-05,0.9999691,0.9946536,0.005346385,8.0,0.6037994,6.059922,3.0,5.001225,0.05,0.0002,3.98922e-06,4.645847e-10,0.0024,1e-15,1e-15,1e-15,1e-15,0.002,0.001,1e-15,0.05,0.0002,1.729964e-07,4.511958e-10,0.0024,1e-15,1e-15,1e-15,1e-15,0.002,0.001,1e-15,1.0,3.815153e-06,9.6e-06,0.72,0.5,0.0,0.0,0.0,1.0,0,0.0
0.375,0.375,0.125,191180.8,200000.0,0.75,0.25,999.9772,2.472764,3.094322e-05,0.9999691,0.9946536,0.005346385,8.0,0.6037994,6.059922,3.0,5.001225,0.05,0.0002,3.98922e-06,4.645847e-10,0.0024,1e-15,1e-15,1e-15,1e-15,0.002,0.001,1e-15,0.05,0.0002,1.729964e-07,4.511958e-10,0.0024,1e-15,1e-15,1e-15,1e-15,0.002,0.001,1e-15,1.0,3.815153e-06,9.6e-06,0.72,0.5,0.0,0.0,0.0,1.0,0,0.0
0.625,0.375,0.125,191180.8,200000.0,0.75,0.25,999.9772,2.472764,3.094322e-05,0.9999691,0.9946536,0.005346385,8.0,0.6037994,6.059922,3.0,5.001225,0.05,0.0002,3.98922e-06,4.645847e-10,0.0024,1e-15,1e-15,1e-15,1e-15,0.002,0.001,1e-15,0.05,0.0002,1.729964e-07,4.511958e-10,0.0024,1e-15,1e-15,1e-15,1e-15,0.002,0.001,1e-15,1.0,3.815153e-06,9.6e-06,0.72,0.5,0.0,0.0,0.0,1.0,0,0.0
0.875,0.375,0.125,191180.8,200000.0,0.75,0.25,999.9772,2.472764,3.094322e-05,0.9999691,0.9946536,0.005346385,8.0,0.6037994,6.059922,3.0,5.001225,0.05,0.0002,3.98922e-06,4.645847e-10,0.0024,1e-15,1e-15,1e-15,1e-15,0.002,0.001,1e-15,0.05,0.0002,1.729964e-07,4.511958e-10,0.0024,1e-15,1e-15,1e-15,1e-15,0.002,0.001,1e-15,1.0,3.815153e-06,9.6e-06,0.72,0.5,0.0,0.0,0.0,1.0,0,0.0
0.125,0.625,0.125,191180.8,200000.0,0.75,0.25,999.9772,2.472764,3.094322e-05,0.9999691,0.9946536,0.005346385,8.0,0.6037994,6.059922,3.0,5.001225,0.05,0.0002,3.98922e-06,4.645847e-10,0.0024,1e-15,1e-15,1e-15,1e-15,0.002,0.001,1e-15,0.05,0.0002,1.729964e-07,4.511958e-10,0.0024,1e-15,1e-15,1e-15,1e-15,0.002,0.001,1e-15,1.0,3.815153e-06,9.6e-06,0.72,0.5,0.0,0.0,0.0,1.0,0,0.0
0.375,0.625,0.125,191180.8,200000.0,0.75,0.25,999.9772,2.472764,3.094322e-05,0.9999691,0.9946536,0.005346385,8.0,0.6037994,6.059922,3.0,5.001225,0.05,0.0002,3.98922e-06,4.645847e-10,0.0024,1e-15,1e-15,1e-15,1e-15,0.002,0.001,1e-15,0.05,0.0002,1.729964e-07,4.511958e-10,0.0024,1e-15,1e-15,1e-15,1e-15,0.002,0.001,1e-15,1.0,3.815153e-06,9.6e-06,0.72,0.5,0.0,0.0,0.0,1.0,0,0.0
